synthetic_transaction_id,synthetic_user_id,timestamp,dataset_split,target_scenario_label,anomaly_score_raw,anomaly_score,transparent_baseline_score,baseline_signal_amount_deviation,baseline_signal_time_deviation,baseline_signal_rapid_repeat,baseline_signal_novelty,baseline_signal_history_limited,synthetic_label_evaluation_only,synthetic_label_notice
syn-transaction-000001,syn-user-0425,2024-01-01T00:07:54Z,train,normal,2.09673074,0.776967,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000002,syn-user-0084,2024-01-01T00:26:53Z,train,synthetic_unusual_time,2.137608,0.792826,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000003,syn-user-0079,2024-01-01T00:27:02Z,train,normal,2.12694158,0.788688,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000004,syn-user-0176,2024-01-01T00:31:47Z,train,normal,2.29834591,0.855187,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000005,syn-user-0401,2024-01-01T00:33:59Z,train,synthetic_unusual_time,2.19874268,0.816544,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000006,syn-user-0262,2024-01-01T00:39:52Z,train,normal,2.07596764,0.768912,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000007,syn-user-0124,2024-01-01T01:03:15Z,train,synthetic_unusual_time,2.15823515,0.800829,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000008,syn-user-0287,2024-01-01T01:25:31Z,train,normal,2.06664353,0.765294,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000009,syn-user-0140,2024-01-01T01:40:20Z,train,normal,2.05633109,0.761293,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000010,syn-user-0273,2024-01-01T01:53:53Z,train,normal,2.07935626,0.770226,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000011,syn-user-0039,2024-01-01T02:28:30Z,train,normal,2.1367394,0.792489,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000012,syn-user-0228,2024-01-01T02:29:44Z,train,normal,2.07564349,0.768786,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000013,syn-user-0425,2024-01-01T02:31:42Z,train,synthetic_behavior_deviation,1.55564055,0.567042,0.528194,0.538425,0.333333,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
