split,class,feature,count,missing_count,mean,median,std,minimum,maximum,p25,p75,p90
validation,normal,amount,1124,0,746.784359,653.065,463.708603,98.09,4781.23,395.9,990.76,1375.87
validation,normal,transaction_hour,1124,0,13.924377,13.0,5.303642,6.0,22.0,9.0,19.0,21.0
validation,normal,day_of_week,1124,0,2.894128,3.0,1.956921,0.0,6.0,1.0,5.0,6.0
validation,normal,user_historical_transaction_count_before,1124,0,14.910142,15.0,1.734598,9.0,19.0,14.0,16.0,17.0
validation,normal,user_historical_average_amount_before,1124,0,984.615276,937.22,511.246264,202.03,2900.57,548.36,1316.33,1683.39
validation,normal,time_since_previous_transaction_seconds,1124,0,414391.654804,341255.5,333562.918753,32678.0,2249343.0,169215.0,557459.0,857302.0
validation,normal,user_historical_category_frequency_before,1124,0,0.347695,0.375,0.189113,0.0,0.846154,0.25,0.470588,0.5625
validation,normal,time_since_previous_transaction_seconds__missing,1124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,synthetic_behavior_deviation,amount,37,0,708.751351,648.07,332.584071,133.03,1853.01,526.89,922.55,1048.8
validation,synthetic_behavior_deviation,transaction_hour,37,0,14.594595,16.0,4.840479,6.0,22.0,11.0,18.0,21.0
validation,synthetic_behavior_deviation,day_of_week,37,0,2.675676,2.0,1.875216,0.0,6.0,1.0,4.0,5.0
validation,synthetic_behavior_deviation,user_historical_transaction_count_before,37,0,14.567568,14.0,1.808995,11.0,17.0,14.0,16.0,17.0
validation,synthetic_behavior_deviation,user_historical_average_amount_before,37,0,1027.458108,924.48,561.40182,209.18,2535.14,700.23,1295.58,1548.29
validation,synthetic_behavior_deviation,time_since_previous_transaction_seconds,37,0,386597.216216,270102.0,330742.229498,69321.0,1644833.0,175252.0,433292.0,685970.0
validation,synthetic_behavior_deviation,user_historical_category_frequency_before,37,0,0.015046,0.0,0.032277,0.0,0.125,0.0,0.0,0.066667
validation,synthetic_behavior_deviation,time_since_previous_transaction_seconds__missing,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,synthetic_combined_pattern,amount,27,0,3091.122593,2436.34,1842.363732,849.31,7850.61,1897.64,4064.94,5158.18
validation,synthetic_combined_pattern,transaction_hour,27,0,4.0,3.0,5.510932,0.0,23.0,1.0,4.0,4.0
validation,synthetic_combined_pattern,day_of_week,27,0,2.62963,2.0,1.888526,0.0,6.0,1.0,4.0,5.0
validation,synthetic_combined_pattern,user_historical_transaction_count_before,27,0,15.185185,15.0,1.415183,11.0,17.0,14.0,16.0,17.0
validation,synthetic_combined_pattern,user_historical_average_amount_before,27,0,839.760741,882.8,368.370359,255.85,1632.34,509.25,1045.49,1239.16
validation,synthetic_combined_pattern,time_since_previous_transaction_seconds,27,0,345504.740741,361386.0,204662.706544,56651.0,838657.0,143160.0,397472.0,625018.0
validation,synthetic_combined_pattern,user_historical_category_frequency_before,27,0,0.011456,0.0,0.029468,0.0,0.125,0.0,0.0,0.058824
validation,synthetic_combined_pattern,time_since_previous_transaction_seconds__missing,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,synthetic_high_amount,amount,117,0,3638.462991,2939.4,2423.332773,595.39,11896.62,1778.27,4727.18,6743.55
validation,synthetic_high_amount,transaction_hour,117,0,13.128205,13.0,5.164869,6.0,22.0,9.0,18.0,21.0
validation,synthetic_high_amount,day_of_week,117,0,3.119658,3.0,1.863561,0.0,6.0,1.0,5.0,6.0
validation,synthetic_high_amount,user_historical_transaction_count_before,117,0,14.649573,15.0,2.022591,8.0,19.0,14.0,16.0,17.0
validation,synthetic_high_amount,user_historical_average_amount_before,117,0,961.397863,843.05,497.907508,211.56,2266.91,596.14,1359.52,1645.17
validation,synthetic_high_amount,time_since_previous_transaction_seconds,117,0,414788.247863,268162.0,384493.003757,72443.0,2508575.0,170121.0,519345.0,875406.0
validation,synthetic_high_amount,user_historical_category_frequency_before,117,0,0.388841,0.4,0.161438,0.0,0.714286,0.333333,0.5,0.5625
validation,synthetic_high_amount,time_since_previous_transaction_seconds__missing,117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,synthetic_rapid_repeat,amount,89,0,737.617753,618.9,439.776071,161.29,1801.03,383.78,1047.12,1428.38
validation,synthetic_rapid_repeat,transaction_hour,89,0,12.044944,11.0,5.71792,0.0,23.0,8.0,17.0,20.0
validation,synthetic_rapid_repeat,day_of_week,89,0,2.865169,3.0,2.099711,0.0,6.0,1.0,5.0,6.0
validation,synthetic_rapid_repeat,user_historical_transaction_count_before,89,0,15.651685,16.0,2.033987,10.0,19.0,15.0,17.0,18.0
validation,synthetic_rapid_repeat,user_historical_average_amount_before,89,0,922.714494,815.07,471.374965,232.78,2282.99,522.25,1164.95,1665.15
validation,synthetic_rapid_repeat,time_since_previous_transaction_seconds,89,0,331.820225,309.0,145.340171,65.0,599.0,231.0,461.0,524.0
validation,synthetic_rapid_repeat,user_historical_category_frequency_before,89,0,0.364799,0.384615,0.192106,0.0,0.684211,0.25,0.5,0.611111
