split,class,feature,normal_mean,class_mean,mean_difference,standardized_difference
validation,synthetic_behavior_deviation,amount,746.784359,708.751351,-38.033008,-0.094256
validation,synthetic_behavior_deviation,transaction_hour,13.924377,14.594595,0.670218,0.132002
validation,synthetic_behavior_deviation,day_of_week,2.894128,2.675676,-0.218452,-0.113985
validation,synthetic_behavior_deviation,user_historical_transaction_count_before,14.910142,14.567568,-0.342574,-0.193306
validation,synthetic_behavior_deviation,user_historical_average_amount_before,984.615276,1027.458108,42.842832,0.079795
validation,synthetic_behavior_deviation,time_since_previous_transaction_seconds,414391.654804,386597.216216,-27794.438588,-0.083679
validation,synthetic_behavior_deviation,user_historical_category_frequency_before,0.347695,0.015046,-0.332649,-2.452137
validation,synthetic_behavior_deviation,time_since_previous_transaction_seconds__missing,0.0,0.0,0.0,
validation,synthetic_combined_pattern,amount,746.784359,3091.122593,2344.338234,1.745107
validation,synthetic_combined_pattern,transaction_hour,13.924377,4.0,-9.924377,-1.835034
validation,synthetic_combined_pattern,day_of_week,2.894128,2.62963,-0.264498,-0.137542
validation,synthetic_combined_pattern,user_historical_transaction_count_before,14.910142,15.185185,0.275043,0.173751
validation,synthetic_combined_pattern,user_historical_average_amount_before,984.615276,839.760741,-144.854535,-0.325098
validation,synthetic_combined_pattern,time_since_previous_transaction_seconds,414391.654804,345504.740741,-68886.914063,-0.248938
validation,synthetic_combined_pattern,user_historical_category_frequency_before,0.347695,0.011456,-0.336239,-2.484461
validation,synthetic_combined_pattern,time_since_previous_transaction_seconds__missing,0.0,0.0,0.0,
validation,synthetic_high_amount,amount,746.784359,3638.462991,2891.678632,1.65746
validation,synthetic_high_amount,transaction_hour,13.924377,13.128205,-0.796172,-0.152095
validation,synthetic_high_amount,day_of_week,2.894128,3.119658,0.22553,0.118028
validation,synthetic_high_amount,user_historical_transaction_count_before,14.910142,14.649573,-0.260569,-0.138299
validation,synthetic_high_amount,user_historical_average_amount_before,984.615276,961.397863,-23.217413,-0.04601
validation,synthetic_high_amount,time_since_previous_transaction_seconds,414391.654804,414788.247863,396.593059,0.001102
validation,synthetic_high_amount,user_historical_category_frequency_before,0.347695,0.388841,0.041146,0.234022
validation,synthetic_high_amount,time_since_previous_transaction_seconds__missing,0.0,0.0,0.0,
validation,synthetic_rapid_repeat,amount,746.784359,737.617753,-9.166606,-0.020285
validation,synthetic_rapid_repeat,transaction_hour,13.924377,12.044944,-1.879433,-0.340806
validation,synthetic_rapid_repeat,day_of_week,2.894128,2.865169,-0.028959,-0.014269
validation,synthetic_rapid_repeat,user_historical_transaction_count_before,14.910142,15.651685,0.741543,0.392303
validation,synthetic_rapid_repeat,user_historical_average_amount_before,984.615276,922.714494,-61.900782,-0.125888
validation,synthetic_rapid_repeat,time_since_previous_transaction_seconds,414391.654804,331.820225,-414059.834579,-1.755498
validation,synthetic_rapid_repeat,user_historical_category_frequency_before,0.347695,0.364799,0.017104,0.08973
validation,synthetic_rapid_repeat,time_since_previous_transaction_seconds__missing,0.0,0.0,0.0,
validation,synthetic_unusual_time,amount,746.784359,775.231954,28.447595,0.0615
validation,synthetic_unusual_time,transaction_hour,13.924377,5.62069,-8.303687,-1.18696
validation,synthetic_unusual_time,day_of_week,2.894128,3.172414,0.278286,0.144474
validation,synthetic_unusual_time,user_historical_transaction_count_before,14.910142,14.896552,-0.01359,-0.007617
validation,synthetic_unusual_time,user_historical_average_amount_before,984.615276,1003.871609,19.256333,0.039619
validation,synthetic_unusual_time,time_since_previous_transaction_seconds,414391.654804,423245.712644,8854.05784,0.024989
validation,synthetic_unusual_time,user_historical_category_frequency_before,0.347695,0.365217,0.017522,0.096792
validation,synthetic_unusual_time,time_since_previous_transaction_seconds__missing,0.0,0.0,0.0,
