synthetic_transaction_id,synthetic_user_id,synthetic_account_id,timestamp,amount,currency,synthetic_merchant_id,merchant_category,transaction_channel,transaction_state,scenario_label,scenario_id,is_synthetic_scenario,label_source,label_definition,dataset_type,synthetic,source_system,dataset_version,transaction_hour,day_of_week,user_historical_transaction_count_before,user_historical_average_amount_before,time_since_previous_transaction_seconds,user_historical_category_frequency_before,dataset_split,scenario_injection_reason,generator_rule
syn-transaction-000001,syn-user-0455,syn-account-0455,2024-01-01T00:05:35Z,885.39,INR,syn-merchant-0010,subscriptions,BANK_SIMULATED,COMPLETED,synthetic_unusual_time,syn-scenario-000001,True,generator_rule,A transaction generated during the documented unusual-hour window.,synthetic_research,True,SpendShield synthetic generator,v1,0,0,0,0.00,,0.0,train,A transaction generated during the documented unusual-hour window.,Use UTC hour 00-04 or 23 while retaining the user's synthetic date.
syn-transaction-000002,syn-user-0320,syn-account-0320,2024-01-01T00:13:59Z,1818.55,INR,syn-merchant-0100,food,WALLET_SIMULATED,COMPLETED,synthetic_unusual_time,syn-scenario-000002,True,generator_rule,A transaction generated during the documented unusual-hour window.,synthetic_research,True,SpendShield synthetic generator,v1,0,0,0,0.00,,0.0,train,A transaction generated during the documented unusual-hour window.,Use UTC hour 00-04 or 23 while retaining the user's synthetic date.
syn-transaction-000003,syn-user-0040,syn-account-0040,2024-01-01T00:29:54Z,859.25,INR,syn-merchant-0065,grocery,QR_SIMULATED,COMPLETED,synthetic_unusual_time,syn-scenario-000003,True,generator_rule,A transaction generated during the documented unusual-hour window.,synthetic_research,True,SpendShield synthetic generator,v1,0,0,0,0.00,,0.0,train,A transaction generated during the documented unusual-hour window.,Use UTC hour 00-04 or 23 while retaining the user's synthetic date.
syn-transaction-000004,syn-user-0052,syn-account-0052,2024-01-01T01:24:06Z,854.80,INR,syn-merchant-0071,transport,WALLET_SIMULATED,COMPLETED,synthetic_unusual_time,syn-scenario-000004,True,generator_rule,A transaction generated during the documented unusual-hour window.,synthetic_research,True,SpendShield synthetic generator,v1,1,0,0,0.00,,0.0,train,A transaction generated during the documented unusual-hour window.,Use UTC hour 00-04 or 23 while retaining the user's synthetic date.
syn-transaction-000005,syn-user-0238,syn-account-0238,2024-01-01T01:32:45Z,584.72,INR,syn-merchant-0033,shopping,BANK_SIMULATED,COMPLETED,synthetic_unusual_time,syn-scenario-000005,True,generator_rule,A transaction generated during the documented unusual-hour window.,synthetic_research,True,SpendShield synthetic generator,v1,1,0,0,0.00,,0.0,train,A transaction generated during the documented unusual-hour window.,Use UTC hour 00-04 or 23 while retaining the user's synthetic date.
syn-transaction-000006,syn-user-0214,syn-account-0214,2024-01-01T02:00:39Z,911.42,INR,syn-merchant-0047,transport,QR_SIMULATED,COMPLETED,synthetic_unusual_time,syn-scenario-000006,True,generator_rule,A transaction generated during the documented unusual-hour window.,synthetic_research,True,SpendShield synthetic generator,v1,2,0,0,0.00,,0.0,train,A transaction generated during the documented unusual-hour window.,Use UTC hour 00-04 or 23 while retaining the user's synthetic date.
syn-transaction-000007,syn-user-0460,syn-account-0460,2024-01-01T02:08:25Z,428.03,INR,syn-merchant-0003,entertainment,CARD_SIMULATED,COMPLETED,synthetic_unusual_time,syn-scenario-000007,True,generator_rule,A transaction generated during the documented unusual-hour window.,synthetic_research,True,SpendShield synthetic generator,v1,2,0,0,0.00,,0.0,train,A transaction generated during the documented unusual-hour window.,Use UTC hour 00-04 or 23 while retaining the user's synthetic date.
syn-transaction-000008,syn-user-0468,syn-account-0468,2024-01-01T04:30:55Z,581.09,INR,syn-merchant-0012,travel,BANK_SIMULATED,COMPLETED,synthetic_unusual_time,syn-scenario-000008,True,generator_rule,A transaction generated during the documented unusual-hour window.,synthetic_research,True,SpendShield synthetic generator,v1,4,0,0,0.00,,0.0,train,A transaction generated during the documented unusual-hour window.,Use UTC hour 00-04 or 23 while retaining the user's synthetic date.
syn-transaction-000009,syn-user-0383,syn-account-0383,2024-01-01T06:13:15Z,576.64,INR,syn-merchant-0095,transport,QR_SIMULATED,COMPLETED,normal,syn-scenario-000009,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,6,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000010,syn-user-0176,syn-account-0176,2024-01-01T06:21:43Z,809.19,INR,syn-merchant-0043,home,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000010,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,6,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
