split,class,feature,count,missing_count,mean,median,std,minimum,maximum,p25,p75,p90
validation,normal,amount,969,0,819.515552,700.33,533.221222,115.74,5052.46,432.08,1049.6,1513.14
validation,normal,transaction_hour,969,0,12.130031,11.0,7.165133,0.0,23.0,6.0,19.0,22.0
validation,normal,day_of_week,969,0,2.603715,2.0,1.996857,0.0,6.0,1.0,4.0,5.0
validation,normal,user_historical_transaction_count_before,969,0,15.4871,15.0,1.05283,14.0,19.0,15.0,16.0,17.0
validation,normal,user_historical_average_amount_before,969,0,896.059185,888.13,415.646188,186.0,2259.74,541.1,1216.12,1429.42
validation,normal,time_since_previous_transaction_seconds,969,0,433642.455108,407230.0,307077.829362,98.0,2055538.0,311108.0,521433.0,822826.0
validation,normal,user_historical_category_frequency_before,969,0,0.378213,0.375,0.226809,0.0,1.0,0.2,0.533333,0.6875
validation,normal,time_since_previous_transaction_seconds__missing,969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,synthetic_behavior_deviation,amount,86,0,1046.062674,781.66,877.558053,182.24,5007.02,467.14,1205.6,1745.78
validation,synthetic_behavior_deviation,transaction_hour,86,0,10.790698,10.5,7.259503,0.0,23.0,4.0,17.0,22.0
validation,synthetic_behavior_deviation,day_of_week,86,0,2.569767,2.0,2.020481,0.0,6.0,1.0,4.0,5.0
validation,synthetic_behavior_deviation,user_historical_transaction_count_before,86,0,16.011628,16.0,1.156319,14.0,19.0,15.0,17.0,17.0
validation,synthetic_behavior_deviation,user_historical_average_amount_before,86,0,898.559884,934.455,411.775505,189.8,1792.54,525.91,1224.04,1411.6
validation,synthetic_behavior_deviation,time_since_previous_transaction_seconds,86,0,276037.593023,268096.0,305948.914527,282.0,1203465.0,9228.0,415069.0,770740.0
validation,synthetic_behavior_deviation,user_historical_category_frequency_before,86,0,0.290755,0.258333,0.25737,0.0,0.875,0.055556,0.5,0.642857
validation,synthetic_behavior_deviation,time_since_previous_transaction_seconds__missing,86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,synthetic_combined_pattern,amount,30,0,833.462,705.66,620.776244,149.82,2737.93,315.26,1028.39,1612.92
validation,synthetic_combined_pattern,transaction_hour,30,0,11.533333,10.0,7.046197,1.0,22.0,5.0,18.0,21.0
validation,synthetic_combined_pattern,day_of_week,30,0,1.833333,2.0,1.733654,0.0,6.0,0.0,2.0,4.0
validation,synthetic_combined_pattern,user_historical_transaction_count_before,30,0,15.6,15.0,1.428286,14.0,19.0,14.0,16.0,18.0
validation,synthetic_combined_pattern,user_historical_average_amount_before,30,0,844.388667,913.59,416.603114,216.73,1638.32,375.04,1088.39,1296.83
validation,synthetic_combined_pattern,time_since_previous_transaction_seconds,30,0,315024.7,369551.5,271733.084634,228.0,1167929.0,3598.0,445299.0,523539.0
validation,synthetic_combined_pattern,user_historical_category_frequency_before,30,0,0.323305,0.381945,0.270076,0.0,0.857143,0.0,0.5,0.6875
validation,synthetic_combined_pattern,time_since_previous_transaction_seconds__missing,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,synthetic_high_amount,amount,166,0,1330.276627,1055.84,1096.947034,140.52,6755.28,494.14,1805.9,2822.56
validation,synthetic_high_amount,transaction_hour,166,0,12.391566,13.0,7.491179,0.0,23.0,5.0,20.0,22.0
validation,synthetic_high_amount,day_of_week,166,0,2.63253,2.0,1.917868,0.0,6.0,1.0,4.0,5.0
validation,synthetic_high_amount,user_historical_transaction_count_before,166,0,15.506024,16.0,1.010469,14.0,19.0,15.0,16.0,17.0
validation,synthetic_high_amount,user_historical_average_amount_before,166,0,937.124398,897.63,445.624519,174.05,2039.83,560.63,1235.55,1585.64
validation,synthetic_high_amount,time_since_previous_transaction_seconds,166,0,453500.337349,413130.5,319518.0038,237.0,1662782.0,327876.0,635358.0,843582.0
validation,synthetic_high_amount,user_historical_category_frequency_before,166,0,0.30721,0.333333,0.245763,0.0,1.0,0.058824,0.5,0.625
validation,synthetic_high_amount,time_since_previous_transaction_seconds__missing,166,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,synthetic_rapid_repeat,amount,124,0,841.027984,642.255,706.965645,131.61,4299.17,404.94,955.08,1458.69
validation,synthetic_rapid_repeat,transaction_hour,124,0,11.225806,11.0,7.092521,0.0,23.0,5.0,17.0,22.0
validation,synthetic_rapid_repeat,day_of_week,124,0,2.5,2.0,1.885856,0.0,6.0,1.0,4.0,5.0
validation,synthetic_rapid_repeat,user_historical_transaction_count_before,124,0,16.596774,17.0,1.023272,15.0,19.0,16.0,17.0,18.0
validation,synthetic_rapid_repeat,user_historical_average_amount_before,124,0,865.696613,797.36,391.874286,204.63,1925.91,532.13,1131.68,1377.0
validation,synthetic_rapid_repeat,time_since_previous_transaction_seconds,124,0,2301.266129,1181.0,2120.735543,182.0,7178.0,613.0,3318.0,5811.0
validation,synthetic_rapid_repeat,user_historical_category_frequency_before,124,0,0.348561,0.352941,0.257776,0.0,0.882353,0.111111,0.5625,0.6875
validation,synthetic_rapid_repeat,time_since_previous_transaction_seconds__missing,124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,synthetic_unusual_time,amount,99,0,721.766061,646.3,438.177081,108.18,2278.33,360.31,983.67,1219.86
validation,synthetic_unusual_time,transaction_hour,99,0,9.959596,11.0,6.40063,0.0,23.0,4.0,15.0,18.0
validation,synthetic_unusual_time,day_of_week,99,0,2.666667,2.0,1.969464,0.0,6.0,1.0,5.0,5.0
validation,synthetic_unusual_time,user_historical_transaction_count_before,99,0,15.474747,16.0,0.988248,14.0,18.0,15.0,16.0,17.0
validation,synthetic_unusual_time,user_historical_average_amount_before,99,0,868.331414,882.22,418.103159,177.05,1765.88,494.12,1199.4,1377.09
validation,synthetic_unusual_time,time_since_previous_transaction_seconds,99,0,432208.989899,413198.0,290254.59211,365.0,1644469.0,279483.0,481445.0,803904.0
validation,synthetic_unusual_time,user_historical_category_frequency_before,99,0,0.427472,0.428571,0.214135,0.0,0.933333,0.285714,0.533333,0.6875
validation,synthetic_unusual_time,time_since_previous_transaction_seconds__missing,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,normal,merchant_novelty_before,969,0,0.384933,0.0,0.486579,0.0,1.0,0.0,1.0,1.0
validation,normal,channel_novelty_before,969,0,0.065015,0.0,0.246553,0.0,1.0,0.0,0.0,0.0
validation,normal,user_relative_amount_deviation,969,0,0.949584,0.832651,0.491541,0.241346,4.12269,0.647436,1.107651,1.498762
validation,normal,user_relative_time_deviation,969,0,4.995246,4.428571,3.338528,0.0,11.9375,2.071429,7.5625,10.058824
validation,synthetic_behavior_deviation,merchant_novelty_before,86,0,0.72093,1.0,0.448542,0.0,1.0,0.0,1.0,1.0
validation,synthetic_behavior_deviation,channel_novelty_before,86,0,0.22093,0.0,0.414874,0.0,1.0,0.0,0.0,1.0
validation,synthetic_behavior_deviation,user_relative_amount_deviation,86,0,1.252506,0.938535,1.003483,0.219499,5.574906,0.650124,1.363346,2.625755
validation,synthetic_behavior_deviation,user_relative_time_deviation,86,0,5.09534,4.84375,3.536056,0.133333,12.0,1.8125,8.133333,10.25
validation,synthetic_combined_pattern,merchant_novelty_before,30,0,0.8,1.0,0.4,0.0,1.0,1.0,1.0,1.0
validation,synthetic_combined_pattern,channel_novelty_before,30,0,0.2,0.0,0.4,0.0,1.0,0.0,0.0,1.0
validation,synthetic_combined_pattern,user_relative_amount_deviation,30,0,0.977169,0.843504,0.449707,0.230365,1.924396,0.686043,1.336574,1.520075
validation,synthetic_combined_pattern,user_relative_time_deviation,30,0,5.242032,4.857143,4.042527,0.0,11.866667,1.533333,8.5,11.642857
validation,synthetic_high_amount,merchant_novelty_before,166,0,0.560241,1.0,0.496358,0.0,1.0,0.0,1.0,1.0
validation,synthetic_high_amount,channel_novelty_before,166,0,0.036145,0.0,0.18665,0.0,1.0,0.0,0.0,0.0
validation,synthetic_high_amount,user_relative_amount_deviation,166,0,1.463068,1.210312,1.010342,0.226351,7.635994,0.71423,1.907267,2.788534
validation,synthetic_high_amount,user_relative_time_deviation,166,0,5.062994,4.677084,3.394444,0.0,11.875,2.0,7.294118,10.4375
validation,synthetic_rapid_repeat,merchant_novelty_before,124,0,0.669355,1.0,0.470445,0.0,1.0,0.0,1.0,1.0
validation,synthetic_rapid_repeat,channel_novelty_before,124,0,0.072581,0.0,0.259447,0.0,1.0,0.0,0.0,0.0
validation,synthetic_rapid_repeat,user_relative_amount_deviation,124,0,0.949282,0.827101,0.538505,0.326761,4.332154,0.669134,1.089458,1.332494
validation,synthetic_rapid_repeat,user_relative_time_deviation,124,0,4.972915,4.666667,3.105344,0.0,11.705882,2.1875,7.333333,9.333333
validation,synthetic_unusual_time,merchant_novelty_before,99,0,0.373737,0.0,0.483795,0.0,1.0,0.0,1.0,1.0
validation,synthetic_unusual_time,channel_novelty_before,99,0,0.050505,0.0,0.218985,0.0,1.0,0.0,0.0,0.0
validation,synthetic_unusual_time,user_relative_amount_deviation,99,0,0.864105,0.79894,0.370875,0.24697,2.466238,0.620538,0.994347,1.332199
validation,synthetic_unusual_time,user_relative_time_deviation,99,0,5.220126,4.9375,2.707567,0.133333,11.266667,3.529412,6.8125,9.066667
