split,class,feature,normal_mean,class_mean,mean_difference,standardized_difference
validation,synthetic_behavior_deviation,amount,819.515552,1046.062674,226.547122,0.312007
validation,synthetic_behavior_deviation,transaction_hour,12.130031,10.790698,-1.339333,-0.185697
validation,synthetic_behavior_deviation,day_of_week,2.603715,2.569767,-0.033948,-0.0169
validation,synthetic_behavior_deviation,user_historical_transaction_count_before,15.4871,16.011628,0.524528,0.474349
validation,synthetic_behavior_deviation,user_historical_average_amount_before,896.059185,898.559884,2.500699,0.006044
validation,synthetic_behavior_deviation,time_since_previous_transaction_seconds,433642.455108,276037.593023,-157604.862085,-0.514185
validation,synthetic_behavior_deviation,user_historical_category_frequency_before,0.378213,0.290755,-0.087458,-0.360546
validation,synthetic_behavior_deviation,time_since_previous_transaction_seconds__missing,0.0,0.0,0.0,
validation,synthetic_combined_pattern,amount,819.515552,833.462,13.946448,0.024101
validation,synthetic_combined_pattern,transaction_hour,12.130031,11.533333,-0.596698,-0.083972
validation,synthetic_combined_pattern,day_of_week,2.603715,1.833333,-0.770382,-0.411993
validation,synthetic_combined_pattern,user_historical_transaction_count_before,15.4871,15.6,0.1129,0.089983
validation,synthetic_combined_pattern,user_historical_average_amount_before,896.059185,844.388667,-51.670518,-0.124171
validation,synthetic_combined_pattern,time_since_previous_transaction_seconds,433642.455108,315024.7,-118617.755108,-0.409105
validation,synthetic_combined_pattern,user_historical_category_frequency_before,0.378213,0.323305,-0.054908,-0.220176
validation,synthetic_combined_pattern,time_since_previous_transaction_seconds__missing,0.0,0.0,0.0,
validation,synthetic_high_amount,amount,819.515552,1330.276627,510.761075,0.592226
validation,synthetic_high_amount,transaction_hour,12.130031,12.391566,0.261535,0.03568
validation,synthetic_high_amount,day_of_week,2.603715,2.63253,0.028815,0.014718
validation,synthetic_high_amount,user_historical_transaction_count_before,15.4871,15.506024,0.018924,0.01834
validation,synthetic_high_amount,user_historical_average_amount_before,896.059185,937.124398,41.065213,0.095302
validation,synthetic_high_amount,time_since_previous_transaction_seconds,433642.455108,453500.337349,19857.882241,0.063371
validation,synthetic_high_amount,user_historical_category_frequency_before,0.378213,0.30721,-0.071003,-0.300255
validation,synthetic_high_amount,time_since_previous_transaction_seconds__missing,0.0,0.0,0.0,
validation,synthetic_rapid_repeat,amount,819.515552,841.027984,21.512432,0.034357
validation,synthetic_rapid_repeat,transaction_hour,12.130031,11.225806,-0.904225,-0.126839
validation,synthetic_rapid_repeat,day_of_week,2.603715,2.5,-0.103715,-0.053402
validation,synthetic_rapid_repeat,user_historical_transaction_count_before,15.4871,16.596774,1.109674,1.068889
validation,synthetic_rapid_repeat,user_historical_average_amount_before,896.059185,865.696613,-30.362572,-0.075167
validation,synthetic_rapid_repeat,time_since_previous_transaction_seconds,433642.455108,2301.266129,-431341.188979,-1.986448
validation,synthetic_rapid_repeat,user_historical_category_frequency_before,0.378213,0.348561,-0.029652,-0.122132
validation,synthetic_rapid_repeat,time_since_previous_transaction_seconds__missing,0.0,0.0,0.0,
validation,synthetic_unusual_time,amount,819.515552,721.766061,-97.749491,-0.200299
validation,synthetic_unusual_time,transaction_hour,12.130031,9.959596,-2.170435,-0.31948
validation,synthetic_unusual_time,day_of_week,2.603715,2.666667,0.062952,0.031743
validation,synthetic_unusual_time,user_historical_transaction_count_before,15.4871,15.474747,-0.012353,-0.012098
validation,synthetic_unusual_time,user_historical_average_amount_before,896.059185,868.331414,-27.727771,-0.066513
validation,synthetic_unusual_time,time_since_previous_transaction_seconds,433642.455108,432208.989899,-1433.465209,-0.004798
validation,synthetic_unusual_time,user_historical_category_frequency_before,0.378213,0.427472,0.049259,0.223333
validation,synthetic_unusual_time,time_since_previous_transaction_seconds__missing,0.0,0.0,0.0,
validation,synthetic_behavior_deviation,merchant_novelty_before,0.384933,0.72093,0.335997,0.718023
validation,synthetic_behavior_deviation,channel_novelty_before,0.065015,0.22093,0.155915,0.456888
validation,synthetic_behavior_deviation,user_relative_amount_deviation,0.949584,1.252506,0.302922,0.383386
validation,synthetic_behavior_deviation,user_relative_time_deviation,4.995246,5.09534,0.100094,0.029108
validation,synthetic_combined_pattern,merchant_novelty_before,0.384933,0.8,0.415067,0.931901
validation,synthetic_combined_pattern,channel_novelty_before,0.065015,0.2,0.134985,0.406268
validation,synthetic_combined_pattern,user_relative_amount_deviation,0.949584,0.977169,0.027585,0.058556
validation,synthetic_combined_pattern,user_relative_time_deviation,4.995246,5.242032,0.246786,0.066568
validation,synthetic_high_amount,merchant_novelty_before,0.384933,0.560241,0.175308,0.356685
validation,synthetic_high_amount,channel_novelty_before,0.065015,0.036145,-0.02887,-0.13203
validation,synthetic_high_amount,user_relative_amount_deviation,0.949584,1.463068,0.513484,0.646313
validation,synthetic_high_amount,user_relative_time_deviation,4.995246,5.062994,0.067748,0.020124
validation,synthetic_rapid_repeat,merchant_novelty_before,0.384933,0.669355,0.284422,0.594304
validation,synthetic_rapid_repeat,channel_novelty_before,0.065015,0.072581,0.007566,0.029895
validation,synthetic_rapid_repeat,user_relative_amount_deviation,0.949584,0.949282,-0.000302,-0.000586
validation,synthetic_rapid_repeat,user_relative_time_deviation,4.995246,4.972915,-0.022331,-0.006926
validation,synthetic_unusual_time,merchant_novelty_before,0.384933,0.373737,-0.011196,-0.023076
validation,synthetic_unusual_time,channel_novelty_before,0.065015,0.050505,-0.01451,-0.062227
validation,synthetic_unusual_time,user_relative_amount_deviation,0.949584,0.864105,-0.085479,-0.196319
validation,synthetic_unusual_time,user_relative_time_deviation,4.995246,5.220126,0.22488,0.073987
